證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
2032,新鋼,"2,058,410",980,"44,962,189",21.90,22.15,21.45,21.95,<p style= color:red>+</p>,0.45,21.85,6,21.95,20,95.43
2033,佳大,"860,376",467,"13,848,498",16.15,16.45,15.90,16.00,<p style= color:red>+</p>,0.10,15.95,13,16.00,5,0.00
2034,允強,"2,937,917","1,615","90,570,472",30.60,31.00,30.50,30.95,<p style= color:red>+</p>,0.50,30.90,5,30.95,62,9.24
2038,海光,"3,755,007","1,835","90,696,038",24.50,24.65,23.65,23.90,<p style= color:green>-</p>,0.10,23.85,1,23.90,9,13.50
2049,上銀,"4,118,872","6,472","924,603,820",225.00,227.50,222.00,225.00,<p style= color:red>+</p>,2.00,225.00,12,225.50,59,17.27
2059,川湖,"704,944","1,060","279,738,226",402.50,404.00,393.50,396.50,<p style= color:green>-</p>,7.50,396.50,2,397.00,6,9.41
2062,橋椿,"434,268",276,"10,544,565",23.80,24.45,23.80,24.35,<p style= color:red>+</p>,0.55,24.30,6,24.35,53,5.83
2069,運錩,"919,598",498,"19,920,310",21.65,21.90,21.40,21.55,<p style= color:red>+</p>,0.15,21.50,10,21.60,4,7.86
2101,南港,"304,786",218,"10,350,042",34.25,34.25,33.85,34.00,<p> </p>,0.00,33.90,5,34.00,24,0.00
2102,泰豐,"160,458",148,"3,343,138",20.90,21.00,20.75,20.75,<p style= color:green>-</p>,0.15,20.75,5,20.80,2,0.00
2103,台橡,"990,246",727,"27,864,891",28.25,28.35,27.95,28.00,<p style= color:green>-</p>,0.20,28.00,40,28.05,4,9.69
2104,國際中橡,"2,756,373","1,123","55,542,367",20.00,20.30,19.95,20.20,<p style= color:red>+</p>,0.40,20.20,55,20.25,68,7.04
2105,正新,"2,635,646","1,195","91,242,227",34.55,34.75,34.40,34.70,<p style= color:red>+</p>,0.20,34.70,6,34.75,33,22.68
2106,建大,"564,299",331,"17,521,700",31.00,31.15,30.85,31.00,<p style= color:red>+</p>,0.05,31.00,14,31.05,1,59.62
2107,厚生,"259,191",225,"5,735,809",22.00,22.25,22.00,22.20,<p style= color:red>+</p>,0.20,22.20,25,22.25,21,8.28
2108,南帝,"806,844",757,"32,237,191",40.25,40.25,39.70,40.05,<p style= color:red>+</p>,0.45,40.00,18,40.05,10,11.19
2109,華豐,"118,261",92,"1,734,216",14.75,14.80,14.60,14.60,<p style= color:green>-</p>,0.10,14.60,8,14.70,36,11.32
2114,鑫永銓,"52,305",50,"5,110,983",96.40,98.30,96.40,98.00,<p style= color:red>+</p>,1.60,97.90,2,98.00,12,17.16
2115,六暉-KY,"8,267",12,"251,013",30.20,30.60,30.20,30.50,<p style= color:red>+</p>,0.15,30.30,1,30.50,4,11.69
2201,裕隆,"40,953,243","26,534","3,413,682,740",82.60,84.50,81.70,84.50,<p style= color:red>+</p>,1.60,84.40,25,84.50,119,0.00
2204,中華,"2,571,223","1,789","154,985,833",60.70,60.80,59.80,60.40,<p> </p>,0.00,60.30,2,60.40,83,0.00
2206,三陽工業,"1,872,968",983,"65,779,336",35.10,35.30,34.85,35.00,<p> </p>,0.00,35.00,114,35.15,1,9.38
2207,和泰車,"628,885","1,004","406,981,036",630.00,666.00,626.00,663.00,<p style= color:red>+</p>,7.00,660.00,9,663.00,2,0.00
2208,台船,"3,798,113","1,814","74,780,528",19.45,19.90,19.35,19.85,<p style= color:red>+</p>,0.50,19.80,15,19.85,99,0.00
2211,長榮鋼,"309,024",265,"16,472,396",53.20,53.70,53.00,53.20,<p> </p>,0.00,53.10,7,53.20,38,9.33
2227,裕日車,"20,324",206,"4,118,946",203.00,203.50,200.00,203.50,<p style= color:red>+</p>,1.00,203.00,2,203.50,3,22.07
2228,劍麟,"200,387",173,"15,520,313",76.30,78.10,76.30,77.50,<p style= color:red>+</p>,1.20,77.50,3,77.80,4,15.20
2231,為升,"1,717,977","1,548","255,527,498",145.00,151.50,144.50,150.00,<p style= color:red>+</p>,6.00,149.50,49,150.00,20,33.11
2233,宇隆,"151,015",159,"15,382,072",101.50,102.50,101.00,102.50,<p style= color:red>+</p>,2.00,102.00,10,102.50,8,9.80
2236,百達-KY,"583,250",410,"19,032,086",33.15,33.50,32.20,32.60,<p style= color:green>-</p>,0.55,32.60,6,32.65,2,25.67
2239,英利-KY,"121,388",108,"7,778,662",63.40,64.50,63.40,64.00,<p style= color:red>+</p>,1.20,63.90,2,64.00,2,37.65
2241,艾姆勒,"43,420",82,"1,382,140",32.00,32.10,31.55,31.85,<p style= color:red>+</p>,0.05,31.80,4,31.90,3,0.00
2243,宏旭-KY,"154,000",88,"2,515,950",16.45,16.60,16.00,16.30,<p style= color:green>-</p>,0.10,16.30,2,16.40,4,0.00
2247,汎德永業,"52,951",104,"11,492,031",219.00,219.00,216.00,217.50,<p style= color:red>+</p>,0.50,217.00,1,218.00,3,12.46
2250,IKKA-KY,"29,052",29,"2,093,975",71.90,72.50,71.70,72.50,<p style= color:red>+</p>,0.60,72.30,1,73.50,1,21.51
2301,光寶科,"4,470,978","2,884","297,321,697",67.00,67.00,66.10,66.40,<p> </p>,0.00,66.40,430,66.50,23,11.86
2302,麗正,"1,528,380",815,"26,181,614",17.05,17.35,16.80,17.05,<p> </p>,0.00,17.00,91,17.05,7,16.72
2303,聯電,"114,823,990","45,845","5,661,473,836",49.50,49.50,48.95,49.25,<p style= color:red>+</p>,0.45,49.20,81,49.25,231,7.31
2305,全友,"558,324",375,"14,621,459",26.30,26.55,25.85,26.15,<p style= color:green>-</p>,0.25,26.15,1,26.25,7,68.82
2308,台達電,"6,830,307","5,691","1,999,311,898",292.00,294.50,289.00,294.50,<p style= color:red>+</p>,5.50,294.00,2,294.50,159,24.66
2312,金寶,"3,797,445","1,519","51,235,459",13.50,13.60,13.40,13.50,<p> </p>,0.00,13.45,143,13.50,265,23.28
2313,華通,"15,433,292","8,840","713,921,680",45.75,46.75,45.70,46.55,<p style= color:red>+</p>,1.00,46.50,"1,914",46.55,248,7.05
2314,台揚,"841,560",676,"34,059,226",40.40,40.75,40.15,40.50,<p style= color:red>+</p>,0.40,40.50,3,40.55,28,0.00
2316,楠梓電,"136,513",114,"3,821,230",27.90,28.05,27.80,28.05,<p style= color:red>+</p>,0.15,28.00,6,28.05,1,8.32
2317,鴻海,"40,082,663","16,606","4,014,650,015",100.50,101.00,99.80,100.00,<p style= color:red>+</p>,0.30,100.00,"1,708",100.50,"2,724",9.50
2321,東訊,"19,226",29,"115,434",6.08,6.16,5.81,6.16,<p style= color:red>+</p>,0.03,6.08,2,6.18,1,51.33
2323,中環,"6,818,201","2,525","53,690,350",7.82,7.94,7.82,7.87,<p style= color:red>+</p>,0.13,7.87,114,7.89,91,0.00
2324,仁寶,"9,736,396","4,764","221,521,034",22.70,22.90,22.60,22.80,<p style= color:red>+</p>,0.20,22.80,37,22.85,400,10.56
2327,國巨,"2,869,738","5,291","1,543,049,198",543.00,545.00,528.00,540.00,<p> </p>,0.00,540.00,13,541.00,48,9.67
2328,廣宇,"5,200,459","3,221","202,282,670",38.80,39.30,38.60,39.05,<p style= color:red>+</p>,0.50,39.00,15,39.05,54,16.14
2329,華泰,"6,149,227","2,166","116,194,097",18.70,19.10,18.60,18.85,<p style= color:red>+</p>,0.25,18.85,97,18.90,92,7.92
2330,台積電,"34,336,584","31,468","18,119,688,013",532.00,533.00,522.00,530.00,<p style= color:red>+</p>,8.00,529.00,2,530.00,440,15.50
2331,精英,"945,556",605,"20,418,086",21.65,21.80,21.45,21.55,<p> </p>,0.00,21.50,14,21.55,8,11.46
2332,友訊,"1,695,871",697,"26,343,059",15.40,15.65,15.40,15.55,<p style= color:red>+</p>,0.20,15.55,177,15.60,74,37.02
2337,旺宏,"5,682,293","3,866","202,417,243",35.95,36.00,35.35,35.70,<p style= color:green>-</p>,0.10,35.65,51,35.70,53,5.49
2338,光罩,"6,361,539","5,010","578,347,648",92.30,92.50,89.60,91.00,<p style= color:green>-</p>,0.70,90.90,25,91.00,9,64.08
2340,台亞,"3,962,918","2,118","150,183,036",37.65,38.30,37.40,37.90,<p style= color:green>-</p>,0.10,37.90,42,37.95,60,31.07
2342,茂矽,"1,975,931","1,259","81,354,322",40.65,41.70,40.50,41.70,<p style= color:red>+</p>,1.40,41.65,7,41.70,5,11.18
2344,華邦電,"35,157,563","10,778","768,779,556",21.65,22.35,21.35,22.10,<p style= color:red>+</p>,0.55,22.10,251,22.15,499,5.30
2345,智邦,"4,523,130","3,398","1,119,193,730",248.50,251.50,245.00,247.50,<p style= color:red>+</p>,4.00,247.00,21,247.50,7,18.79
2347,聯強,"3,840,714","1,976","234,483,790",60.80,61.50,60.50,61.30,<p style= color:red>+</p>,0.90,61.30,57,61.40,67,6.26
2348,海悅,"24,068",457,"1,635,831",68.30,68.30,67.80,67.90,<p style= color:green>-</p>,0.40,67.80,2,67.90,1,8.65
2348A,海悅甲特,"3,533",6,"126,732",35.95,35.95,35.90,35.90,<p> </p>,0.00,35.85,1,35.95,1,0.00
2349,錸德,"1,617,443",589,"13,287,430",8.16,8.26,8.15,8.20,<p style= color:red>+</p>,0.06,8.20,67,8.22,10,0.00
2351,順德,"16,058,800","12,026","1,914,718,287",114.50,124.50,113.00,122.50,<p style= color:red>+</p>,9.00,122.50,20,123.00,15,22.44
2352,佳世達,"3,570,597","1,943","101,535,026",28.60,28.70,28.30,28.35,<p style= color:red>+</p>,0.05,28.35,28,28.40,33,6.29
2353,宏碁,"10,699,507","4,876","264,931,205",24.85,25.00,24.45,25.00,<p style= color:red>+</p>,0.05,24.90,3,25.00,394,9.29
2354,鴻準,"5,271,925","3,056","288,957,307",54.70,55.30,54.30,55.00,<p style= color:red>+</p>,0.80,55.00,80,55.10,55,18.15
2355,敬鵬,"629,700",443,"18,842,154",29.95,30.10,29.70,30.00,<p style= color:red>+</p>,0.15,29.95,5,30.00,6,37.97
2356,英業達,"6,731,564","2,986","171,393,265",25.25,25.60,25.25,25.50,<p style= color:red>+</p>,0.25,25.45,253,25.50,169,14.74
2357,華碩,"1,156,202","1,330","317,249,804",274.50,276.00,272.50,275.00,<p style= color:red>+</p>,3.00,274.50,7,275.00,49,6.68
2358,廷鑫,"8,462,543","3,547","142,619,378",17.05,17.30,16.50,16.70,<p style= color:green>-</p>,0.30,16.70,43,16.75,89,23.52
2359,所羅門,"1,660,223",919,"44,714,713",27.10,27.25,26.70,26.95,<p style= color:red>+</p>,0.15,26.95,16,27.00,73,8.34
2360,致茂,"1,312,327","1,426","244,420,090",185.00,189.00,183.50,186.00,<p style= color:red>+</p>,1.00,186.00,22,186.50,1,16.09
2362,藍天,"166,929",174,"5,203,799",31.30,31.45,31.00,31.00,<p style= color:green>-</p>,0.20,31.00,1,31.10,2,14.29
2363,矽統,"1,865,522","1,413","32,342,793",17.45,17.45,17.20,17.35,<p style= color:red>+</p>,0.05,17.35,60,17.40,161,25.14
2364,倫飛,"823,457",578,"80,724,308",92.00,100.00,92.00,100.00,<p style= color:red>+</p>,8.80,100.00,"5,238",--,0,32.15
2365,昆盈,"156,692",115,"1,626,956",10.45,10.45,10.35,10.35,<p> </p>,0.00,10.35,12,10.40,36,29.57
2367,燿華,"4,124,220","1,678","75,384,265",18.40,18.40,18.15,18.30,<p style= color:red>+</p>,0.05,18.25,138,18.30,25,38.94
2368,金像電,"12,199,062","9,366","1,082,957,247",88.00,89.70,87.70,89.10,<p style= color:red>+</p>,1.80,89.00,9,89.10,13,9.75
2369,菱生,"3,720,164","1,572","53,310,168",14.00,14.75,13.95,14.70,<p style= color:red>+</p>,0.75,14.70,68,14.75,20,11.57
2371,大同,"4,707,520","1,949","161,563,120",34.20,34.50,34.20,34.25,<p style= color:red>+</p>,0.05,34.25,127,34.30,87,6.98
2373,震旦行,"116,861",117,"9,096,498",78.00,78.10,77.70,77.80,<p style= color:red>+</p>,0.10,77.80,1,77.90,2,13.08
2374,佳能,"324,657",279,"6,772,685",20.80,20.95,20.75,20.95,<p style= color:red>+</p>,0.15,20.95,3,21.00,34,35.51
2375,凱美,"1,794,522","1,491","113,556,091",61.20,64.60,61.20,63.80,<p style= color:red>+</p>,3.10,63.80,4,63.90,19,8.82
2376,技嘉,"8,284,322","6,190","967,789,665",117.00,118.00,116.00,117.00,<p style= color:red>+</p>,1.50,116.50,395,117.00,48,8.33
2377,微星,"4,123,233","3,072","548,020,548",131.50,134.50,130.00,134.00,<p style= color:red>+</p>,3.00,134.00,18,134.50,280,8.51
2379,瑞昱,"3,367,982","3,292","1,098,759,554",323.00,329.50,321.50,329.50,<p style= color:red>+</p>,9.50,329.00,56,329.50,5,9.05
2380,虹光,"1,661,719",728,"18,534,255",11.10,11.45,10.95,11.30,<p style= color:red>+</p>,0.30,11.30,5,11.35,7,0.00
2382,廣達,"4,128,655","2,226","312,867,304",76.00,76.10,75.20,75.90,<p style= color:red>+</p>,1.20,75.90,"1,374",76.00,180,10.00
2383,台光電,"5,251,469","4,787","994,384,227",184.00,194.00,182.00,189.00,<p style= color:red>+</p>,8.50,188.50,8,189.00,6,12.09
2385,群光,"1,351,402","1,160","117,395,318",87.00,87.30,86.60,86.60,<p style= color:green>-</p>,0.20,86.60,6,86.90,16,8.49
2387,精元,"388,888",248,"15,007,616",38.50,38.80,38.45,38.65,<p style= color:red>+</p>,0.20,38.65,3,38.70,3,5.68
2388,威盛,"5,916,830","4,144","413,450,791",69.90,70.50,69.00,70.20,<p style= color:red>+</p>,0.70,70.20,19,70.30,80,11.49
2390,云辰,"588,247",500,"7,494,541",12.85,12.85,12.55,12.85,<p style= color:red>+</p>,0.15,12.80,2,12.85,13,0.00
2392,正崴,"1,326,408",902,"51,363,711",38.75,38.95,38.50,38.70,<p style= color:red>+</p>,0.15,38.70,18,38.80,56,12.99
2393,億光,"1,222,638",882,"46,210,791",37.55,38.05,37.55,37.60,<p style= color:red>+</p>,0.10,37.60,28,37.80,34,10.77
2395,研華,"762,896",702,"263,333,789",345.50,347.50,340.00,346.00,<p style= color:red>+</p>,5.00,345.50,1,346.00,10,25.67
2397,友通,"39,220",68,"2,388,112",61.00,61.00,60.80,60.90,<p style= color:green>-</p>,0.30,60.80,7,60.90,6,8.61
2399,映泰,"1,522,303",649,"21,874,614",14.40,14.50,14.20,14.40,<p style= color:red>+</p>,0.05,14.35,7,14.40,21,18.00
2401,凌陽,"2,147,388","1,471","51,998,947",23.95,24.40,23.90,24.40,<p style= color:red>+</p>,0.60,24.35,18,24.40,77,19.84
2402,毅嘉,"1,214,931",632,"21,895,353",18.10,18.20,17.90,18.00,<p> </p>,0.00,18.00,9,18.05,4,19.57
2404,漢唐,"1,915,788","2,188","401,404,033",207.00,211.50,206.00,210.50,<p style= color:red>+</p>,4.50,210.00,45,210.50,37,10.41
2405,輔信,"1,272,069",409,"15,314,785",11.90,12.15,11.90,12.05,<p> </p>,0.00,12.05,83,12.10,35,16.28
2406,國碩,"2,254,955","1,271","44,300,128",19.60,19.85,19.45,19.75,<p style= color:red>+</p>,0.20,19.70,12,19.75,15,0.00
2408,南亞科,"7,607,417","4,017","440,950,369",58.20,58.50,57.30,58.20,<p style= color:red>+</p>,0.40,58.20,316,58.30,37,8.12
2409,友達,"36,369,661","10,101","602,329,121",16.75,16.80,16.35,16.65,<p style= color:green>-</p>,0.10,16.60,115,16.65,605,0.00
2412,中華電,"16,944,328","9,822","1,900,148,047",112.50,113.00,111.50,112.50,<p> </p>,0.00,112.00,"2,540",112.50,5,23.78
2413,環科,"5,428,054","2,348","153,169,750",27.20,28.70,27.20,28.45,<p style= color:red>+</p>,1.45,28.40,19,28.45,36,15.63
2414,精技,"115,658",124,"3,678,687",31.70,31.95,31.65,31.70,<p style= color:red>+</p>,0.10,31.70,11,31.80,1,9.52
2415,錩新,"400,141",366,"9,692,071",24.85,24.85,23.85,24.10,<p style= color:green>-</p>,0.25,24.10,2,24.15,1,37.66
2417,圓剛,"273,861",215,"6,334,872",22.90,23.25,22.90,23.15,<p style= color:red>+</p>,0.15,23.15,25,23.20,13,82.68
2419,仲琦,"1,786,013",932,"46,515,506",26.20,26.25,25.85,26.10,<p style= color:red>+</p>,0.20,26.05,6,26.10,19,22.50
2420,新巨,"153,031",148,"6,208,304",40.50,41.00,40.00,40.75,<p style= color:red>+</p>,0.55,40.75,1,40.80,7,9.06
2421,建準,"1,556,586",997,"66,501,121",43.60,43.60,42.35,42.60,<p style= color:red>+</p>,0.05,42.60,5,42.75,3,10.87
2423,固緯,"205,257",171,"5,770,787",28.30,28.35,27.95,28.15,<p style= color:red>+</p>,0.05,28.10,2,28.20,2,10.46
2424,隴華,"27,870",35,"545,828",19.50,19.50,19.35,19.40,<p style= color:green>-</p>,0.30,19.40,4,19.70,1,0.00
2425,承啟,"1,444,409",632,"44,321,921",30.60,31.10,30.20,30.90,<p style= color:red>+</p>,0.50,30.85,3,30.90,7,7.84
2426,鼎元,"325,367",311,"5,684,365",17.35,17.55,17.35,17.50,<p style= color:red>+</p>,0.30,17.45,11,17.50,1,13.06
2427,三商電,"136,201",77,"1,635,272",11.95,12.05,11.95,12.05,<p style= color:red>+</p>,0.10,12.00,10,12.05,31,10.04
2428,興勤,"663,951",688,"99,627,087",149.50,151.50,148.50,150.00,<p style= color:red>+</p>,0.50,150.00,113,150.50,9,12.30
2429,銘旺科,"23,000",12,"230,120",10.00,10.05,9.90,9.95,<p style= color:green>-</p>,0.05,9.99,2,10.10,8,0.00
2430,燦坤,"170,362",328,"7,704,240",45.20,45.30,45.10,45.25,<p style= color:red>+</p>,0.20,45.20,3,45.30,5,7.92
2431,聯昌,"65,044",68,"643,403",9.81,9.95,9.81,9.92,<p style= color:red>+</p>,0.11,9.92,1,9.93,1,0.00
2433,互盛電,"23,491",27,"1,155,906",48.85,49.35,48.85,49.30,<p style= color:red>+</p>,0.10,48.95,1,49.30,1,12.77
2434,統懋,"21,000",15,"588,100",29.10,29.10,27.70,28.20,<p style= color:red>+</p>,0.05,27.95,1,28.70,1,0.00
2436,偉詮電,"1,952,856","1,462","94,062,326",48.60,48.60,47.85,48.30,<p style= color:red>+</p>,0.55,48.30,11,48.35,4,26.54
2438,翔耀,"18,434",18,"262,469",14.45,14.45,14.20,14.25,<p> </p>,0.00,14.20,1,14.30,1,0.00
2439,美律,"661,826",869,"54,017,873",81.70,82.00,81.20,81.40,<p style= color:red>+</p>,0.10,81.40,12,81.60,1,10.90
2440,太空梭,"117,105",87,"1,405,954",11.90,12.10,11.90,12.10,<p style= color:red>+</p>,0.20,12.05,10,12.15,4,0.00
2441,超豐,"4,655,596","3,453","246,438,263",51.70,53.70,51.50,53.20,<p style= color:red>+</p>,2.40,53.20,4,53.30,19,7.49
2442,新美齊,"175,922",165,"2,311,882",13.15,13.20,13.10,13.10,<p style= color:green>-</p>,0.05,13.10,72,13.15,1,22.59
2443,昶虹,"436,077",73,"1,237,098",2.90,2.90,2.81,2.81,<p style= color:green>-</p>,0.09,2.81,21,2.83,1,0.00
2444,兆勁,"2,147,829","1,101","40,028,553",18.75,18.85,18.50,18.65,<p style= color:green>-</p>,0.05,18.60,9,18.65,35,18.11
2449,京元電子,"5,845,718","3,483","226,060,492",38.50,38.85,38.40,38.75,<p style= color:red>+</p>,0.45,38.70,57,38.75,14,6.80
2450,神腦,"83,746",79,"2,667,859",31.85,32.00,31.70,31.70,<p style= color:green>-</p>,0.15,31.70,5,31.80,1,12.24
2451,創見,"319,148",415,"21,721,080",68.00,68.50,67.70,67.70,<p style= color:green>-</p>,0.30,67.70,6,67.90,5,10.03
2453,凌群,"288,130",156,"7,499,881",26.10,26.20,25.90,25.95,<p style= color:green>-</p>,0.15,25.95,4,26.05,4,10.86
2454,聯發科,"5,815,887","6,472","4,200,815,801",724.00,728.00,718.00,724.00,<p style= color:red>+</p>,6.00,724.00,1,725.00,124,8.88
2455,全新,"7,421,840","7,229","641,012,349",88.90,88.90,85.60,85.90,<p style= color:green>-</p>,2.70,85.90,82,86.00,95,22.72
2457,飛宏,"4,314,253","2,560","173,468,443",40.00,40.50,39.60,40.45,<p style= color:red>+</p>,0.80,40.40,26,40.45,53,0.00
2458,義隆,"3,424,293","2,899","343,861,772",98.00,102.00,97.70,102.00,<p style= color:red>+</p>,5.10,101.50,19,102.00,36,8.48
2459,敦吉,"55,038",60,"2,923,956",53.20,53.50,53.00,53.50,<p style= color:red>+</p>,0.40,53.10,2,53.50,1,9.94
2460,建通,"323,664",261,"5,810,173",17.90,18.30,17.70,17.80,<p style= color:red>+</p>,0.20,17.75,42,17.80,4,0.00
2461,光群雷,"521,917",234,"10,046,192",19.15,19.35,19.10,19.25,<p style= color:red>+</p>,0.25,19.25,14,19.30,75,13.46
2462,良得電,"237,338",168,"6,883,564",29.25,29.30,28.80,29.00,<p style= color:red>+</p>,0.05,28.95,1,29.00,4,41.43
2464,盟立,"129,448",168,"5,030,215",39.00,39.00,38.70,38.90,<p style= color:red>+</p>,0.05,38.90,4,38.95,16,12.80
2465,麗臺,"4,231,405","2,807","182,590,474",44.15,44.40,42.35,42.95,<p style= color:green>-</p>,1.05,42.90,29,42.95,15,0.00
2466,冠西電,"17,305",21,"593,804",34.15,34.45,34.15,34.45,<p style= color:red>+</p>,0.50,34.30,1,34.55,1,45.33
2467,志聖,"90,385",118,"4,025,679",44.65,44.75,44.25,44.75,<p style= color:red>+</p>,0.30,44.65,2,44.75,2,9.36
2468,華經,"7,957,706","3,235","235,574,473",28.25,30.10,27.95,30.10,<p style= color:red>+</p>,2.70,30.10,"16,384",--,0,35.83
2471,資通,"153,473",135,"4,397,814",28.75,28.75,28.50,28.65,<p style= color:red>+</p>,0.05,28.65,5,28.70,1,8.43
2472,立隆電,"1,048,023",674,"61,577,438",58.20,59.20,58.00,59.00,<p style= color:red>+</p>,1.20,58.90,8,59.00,3,7.41
2474,可成,"6,281,665","4,630","1,156,995,649",183.00,186.00,182.50,185.50,<p style= color:red>+</p>,7.50,185.00,207,185.50,17,9.47
2476,鉅祥,"1,140,939",668,"55,601,051",48.35,49.00,48.30,48.80,<p style= color:red>+</p>,0.60,48.75,15,48.80,1,10.97
2477,美隆電,"43,628",95,"891,806",20.50,20.55,20.35,20.40,<p style= color:green>-</p>,0.20,20.40,3,20.45,1,25.50
2478,大毅,"446,907",434,"20,445,031",44.90,46.50,44.65,46.30,<p style= color:red>+</p>,1.90,46.15,1,46.30,5,8.61
2480,敦陽科,"116,907",170,"9,944,965",85.40,85.50,84.60,85.30,<p style= color:red>+</p>,0.40,85.10,2,85.30,7,11.96
2481,強茂,"7,317,585","5,644","492,097,657",66.90,68.20,66.30,67.10,<p style= color:red>+</p>,0.80,67.00,65,67.10,17,12.47
2482,連宇,"25,817,332","13,521","872,039,594",33.20,35.20,32.50,34.40,<p style= color:red>+</p>,1.35,34.40,32,34.45,135,15.50
2483,百容,"516,861",314,"12,902,737",24.50,25.35,24.45,25.05,<p style= color:red>+</p>,0.80,25.05,7,25.25,2,15.09
2484,希華,"2,512,120","1,330","86,402,736",33.15,35.15,33.15,35.05,<p style= color:red>+</p>,0.05,35.05,53,35.10,5,7.05
2485,兆赫,"763,645",457,"13,515,317",17.65,17.80,17.60,17.75,<p style= color:red>+</p>,0.20,17.75,3,17.80,9,0.00
2486,一詮,"3,399,061","1,931","78,961,616",23.20,23.60,22.90,23.20,<p style= color:red>+</p>,0.15,23.20,10,23.25,57,40.70
2488,漢平,"86,216",80,"2,504,696",29.00,29.10,29.00,29.05,<p style= color:red>+</p>,0.05,29.00,27,29.10,22,7.94
2489,瑞軒,"1,616,083",928,"16,245,408",10.00,10.15,9.99,10.10,<p style= color:red>+</p>,0.10,10.10,58,10.15,118,0.00
2491,吉祥全,"32,211",34,"370,326",11.55,11.55,11.40,11.55,<p style= color:red>+</p>,0.15,11.45,4,11.55,1,0.00
2492,華新科,"12,949,538","10,599","1,241,291,473",91.00,98.80,90.50,98.80,<p style= color:red>+</p>,8.90,98.80,"5,107",--,0,15.53
2493,揚博,"364,480",438,"17,360,567",46.70,48.15,46.70,48.00,<p style= color:red>+</p>,1.30,47.95,5,48.00,7,9.94
2495,普安,"1,081,973",694,"19,145,968",17.65,17.85,17.55,17.65,<p style= color:red>+</p>,0.05,17.60,111,17.65,5,21.27
2496,卓越,"29,509",31,"1,437,668",48.40,48.95,48.40,48.75,<p style= color:red>+</p>,0.50,48.65,1,48.85,1,13.36
2497,怡利電,"2,204,113","1,823","167,804,389",76.60,76.90,75.20,76.00,<p style= color:red>+</p>,0.50,75.90,18,76.00,14,26.39
2498,宏達電,"18,269,331","9,146","1,112,230,058",61.30,61.40,60.30,60.90,<p style= color:red>+</p>,0.10,60.80,315,60.90,112,0.00
2501,國建,"305,903",241,"4,978,417",16.40,16.40,16.20,16.30,<p style= color:green>-</p>,0.05,16.25,57,16.30,29,15.98
2504,國產,"1,406,158",643,"35,940,630",25.65,25.70,25.45,25.50,<p style= color:green>-</p>,0.15,25.50,91,25.60,8,7.06
2505,國揚,"312,679",160,"5,760,180",18.35,18.65,18.25,18.55,<p style= color:red>+</p>,0.20,18.50,10,18.55,1,10.14
2506,太設,"177,217",111,"1,645,435",9.32,9.35,9.24,9.28,<p style= color:green>-</p>,0.04,9.28,3,9.29,2,4.76
2509,全坤建,"77,727",178,"1,137,987",14.70,14.70,14.50,14.65,<p style= color:red>+</p>,0.10,14.65,5,14.70,1,0.00
2511,太子,"550,038",254,"6,140,683",11.25,11.25,11.10,11.15,<p> </p>,0.00,11.10,82,11.20,35,12.67
2514,龍邦,"161,021",58,"2,717,339",16.80,16.95,16.80,16.80,<p> </p>,0.00,16.80,32,16.85,8,18.88
2515,中工,"3,809,619","1,268","32,189,689",8.39,8.48,8.38,8.48,<p style= color:red>+</p>,0.10,8.48,192,8.49,92,4.37
2516,新建,"49,369",53,"248,172",5.03,5.05,5.00,5.01,<p style= color:green>-</p>,0.01,5.01,3,5.03,5,0.00
2520,冠德,"554,341",452,"16,081,623",29.00,29.20,28.90,28.90,<p style= color:green>-</p>,0.10,28.90,10,29.05,40,5.90
2524,京城,"19,167",15,"638,811",33.05,33.55,33.05,33.10,<p style= color:red>+</p>,0.10,33.10,1,33.25,1,11.82
2527,宏璟,"118,655",105,"2,506,733",21.10,21.25,21.00,21.15,<p> </p>,0.00,21.15,2,21.20,5,9.61
2528,皇普,"40,775",29,"678,341",16.70,16.75,16.60,16.60,<p style= color:red>+</p>,0.05,16.60,1,16.65,1,12.77
2530,華建,"588,413",231,"10,429,596",17.65,18.00,17.65,17.65,<p> </p>,0.00,17.65,8,17.75,39,252.14
2534,宏盛,"1,056,320",546,"24,386,617",23.25,23.35,22.90,23.10,<p style= color:green>-</p>,0.20,23.05,5,23.10,9,9.43
2535,達欣工,"343,062",273,"10,535,155",30.60,30.80,30.55,30.80,<p style= color:red>+</p>,0.30,30.75,29,30.80,20,8.63
2536,宏普,"189,480",59,"4,259,832",22.60,22.60,22.45,22.50,<p> </p>,0.00,22.45,123,22.50,11,0.00
2537,聯上發,"741,299",247,"5,213,499",7.05,7.08,7.00,7.02,<p style= color:green>-</p>,0.03,7.02,8,7.03,38,12.54
2538,基泰,"995,894",270,"12,875,626",12.75,13.05,12.75,13.00,<p style= color:red>+</p>,0.25,13.00,5,13.05,71,18.84
2539,櫻花建,"150,037",155,"4,990,155",33.40,33.40,33.15,33.15,<p style= color:green>-</p>,0.25,33.15,14,33.20,2,12.51
2540,愛山林,"225,542",365,"17,820,884",79.50,80.00,78.30,78.40,<p style= color:green>-</p>,1.60,78.30,5,78.50,1,25.21
2542,興富發,"2,996,890","2,336","124,288,545",41.15,41.70,41.15,41.60,<p style= color:red>+</p>,0.50,41.60,31,41.65,2,29.50
